X,Y,U,V,P
0.106250,0.043750,-0.002688,0.001422,-0.281728
0.118750,0.043750,-0.003467,0.001557,-0.279338
0.131250,0.043750,-0.004329,0.001678,-0.276301
0.143750,0.043750,-0.005266,0.001785,-0.272602
0.156250,0.043750,-0.006270,0.001878,-0.268229
0.168750,0.043750,-0.007335,0.001955,-0.263181
0.181250,0.043750,-0.008450,0.002018,-0.257459
0.193750,0.043750,-0.009609,0.002066,-0.251070
0.206250,0.043750,-0.010803,0.002099,-0.244028
0.218750,0.043750,-0.012024,0.002118,-0.236351
0.231250,0.043750,-0.013262,0.002123,-0.228060
0.243750,0.043750,-0.014510,0.002114,-0.219183
0.256250,0.043750,-0.015760,0.002092,-0.209749
0.268750,0.043750,-0.017004,0.002058,-0.199792
0.281250,0.043750,-0.018234,0.002012,-0.189351
0.293750,0.043750,-0.019442,0.001955,-0.178463
0.306250,0.043750,-0.020623,0.001888,-0.167171
0.318750,0.043750,-0.021768,0.001811,-0.155520
0.331250,0.043750,-0.022871,0.001725,-0.143555
0.343750,0.043750,-0.023927,0.001630,-0.131323
0.356250,0.043750,-0.024929,0.001528,-0.118871
0.368750,0.043750,-0.025873,0.001419,-0.106249
0.381250,0.043750,-0.026752,0.001304,-0.093505
0.393750,0.043750,-0.027563,0.001183,-0.080687
0.406250,0.043750,-0.028302,0.001057,-0.067844
0.418750,0.043750,-0.028964,0.000927,-0.055023
0.431250,0.043750,-0.029547,0.000793,-0.042270
0.443750,0.043750,-0.030046,0.000656,-0.029632
0.456250,0.043750,-0.030461,0.000517,-0.017152
0.468750,0.043750,-0.030788,0.000376,-0.004873
0.481250,0.043750,-0.031025,0.000234,0.007165
0.493750,0.043750,-0.031173,0.000091,0.018923
0.506250,0.043750,-0.031229,-0.000051,0.030363
0.518750,0.043750,-0.031193,-0.000192,0.041450
0.531250,0.043750,-0.031066,-0.000332,0.052152
0.543750,0.043750,-0.030847,-0.000469,0.062439
0.556250,0.043750,-0.030539,-0.000604,0.072281
0.568750,0.043750,-0.030142,-0.000735,0.081653
0.581250,0.043750,-0.029658,-0.000862,0.090531
0.593750,0.043750,-0.029089,-0.000983,0.098895
0.606250,0.043750,-0.028439,-0.001099,0.106725
0.618750,0.043750,-0.027711,-0.001208,0.114006
0.631250,0.043750,-0.026908,-0.001310,0.120721
0.643750,0.043750,-0.026034,-0.001404,0.126861
0.656250,0.043750,-0.025095,-0.001489,0.132415
0.668750,0.043750,-0.024095,-0.001565,0.137377
0.681250,0.043750,-0.023041,-0.001630,0.141741
0.693750,0.043750,-0.021937,-0.001684,0.145505
0.706250,0.043750,-0.020790,-0.001727,0.148669
0.718750,0.043750,-0.019608,-0.001757,0.151234
0.731250,0.043750,-0.018397,-0.001775,0.153206
0.743750,0.043750,-0.017165,-0.001778,0.154592
0.756250,0.043750,-0.015920,-0.001768,0.155401
0.768750,0.043750,-0.014669,-0.001743,0.155644
0.781250,0.043750,-0.013421,-0.001703,0.155338
